iter	Passed	Remaining
1333	2845	567
1334	2847	565
1335	2850	563
1336	2852	561
1337	2854	558
1338	2856	556
1339	2858	554
1340	2860	552
1341	2862	550
1342	2864	548
1343	2866	545
1344	2868	543
1345	2870	541
1346	2872	539
1347	2874	537
1348	2876	535
1349	2878	532
1350	2880	530
1351	2882	528
1352	2884	526
1353	2886	524
1354	2888	522
1355	2890	520
1356	2893	518
1357	2895	515
1358	2897	513
1359	2899	511
1360	2901	509
1361	2903	507
1362	2905	505
1363	2908	503
1364	2910	501
1365	2912	498
1366	2914	496
1367	2916	494
1368	2918	492
1369	2921	490
1370	2923	488
1371	2925	486
1372	2928	484
1373	2930	482
1374	2932	479
1375	2935	477
1376	2937	475
1377	2939	473
1378	2941	471
1379	2943	469
1380	2946	467
1381	2948	465
1382	2950	462
1383	2952	460
1384	2954	458
1385	2956	456
1386	2959	454
1387	2961	452
1388	2963	450
1389	2965	448
1390	2968	445
1391	2970	443
1392	2972	441
1393	2975	439
1394	2977	437
1395	2979	435
1396	2981	433
1397	2983	431
1398	2985	428
1399	2987	426
1400	2989	424
1401	2991	422
1402	2993	420
1403	2995	418
1404	2997	416
1405	2999	413
1406	3001	411
1407	3003	409
1408	3005	407
1409	3008	405
1410	3010	403
1411	3012	401
1412	3015	399
1413	3017	396
1414	3019	394
1415	3021	392
1416	3023	390
1417	3025	388
1418	3027	386
1419	3029	384
1420	3031	381
1421	3034	379
1422	3036	377
1423	3038	375
1424	3040	373
1425	3043	371
1426	3045	369
1427	3047	367
1428	3049	364
1429	3051	362
1430	3053	360
1431	3056	358
1432	3058	356
1433	3060	354
1434	3062	352
1435	3064	350
1436	3067	347
1437	3069	345
1438	3071	343
1439	3073	341
1440	3076	339
1441	3078	337
1442	3080	335
1443	3082	333
1444	3084	330
1445	3086	328
1446	3088	326
1447	3090	324
1448	3092	322
1449	3094	320
1450	3097	318
1451	3099	315
1452	3101	313
1453	3103	311
1454	3105	309
1455	3108	307
1456	3110	305
1457	3112	303
1458	3115	301
1459	3116	298
1460	3119	296
1461	3121	294
1462	3123	292
1463	3125	290
1464	3128	288
1465	3130	286
1466	3132	283
1467	3134	281
1468	3136	279
1469	3138	277
1470	3140	275
1471	3142	273
1472	3144	271
1473	3146	268
1474	3148	266
1475	3149	264
1476	3151	262
1477	3153	260
1478	3155	258
1479	3157	256
1480	3159	253
1481	3161	251
1482	3164	249
1483	3166	247
1484	3168	245
1485	3170	243
1486	3172	241
1487	3174	238
1488	3176	236
1489	3178	234
1490	3181	232
1491	3183	230
1492	3185	228
1493	3187	226
1494	3189	224
1495	3191	221
1496	3194	219
1497	3196	217
1498	3198	215
1499	3201	213
1500	3203	211
1501	3205	209
1502	3208	207
1503	3210	204
1504	3213	202
1505	3215	200
1506	3217	198
1507	3219	196
1508	3221	194
1509	3224	192
1510	3226	190
1511	3228	187
1512	3231	185
1513	3233	183
1514	3235	181
1515	3237	179
1516	3239	177
1517	3242	175
1518	3244	173
1519	3246	170
1520	3248	168
1521	3251	166
1522	3253	164
1523	3255	162
1524	3257	160
1525	3259	158
1526	3262	155
1527	3264	153
1528	3266	151
1529	3268	149
1530	3271	147
1531	3273	145
1532	3275	143
1533	3277	141
1534	3280	138
1535	3281	136
1536	3283	134
1537	3286	132
1538	3288	130
1539	3290	128
1540	3292	126
1541	3295	123
1542	3297	121
1543	3299	119
1544	3301	117
1545	3303	115
1546	3305	113
1547	3308	111
1548	3310	108
1549	3312	106
1550	3314	104
1551	3316	102
1552	3318	100
1553	3321	98
1554	3323	96
1555	3325	94
1556	3327	91
1557	3330	89
1558	3332	87
1559	3334	85
1560	3337	83
1561	3339	81
1562	3341	79
1563	3344	76
1564	3346	74
1565	3348	72
1566	3350	70
1567	3352	68
1568	3354	66
1569	3357	64
1570	3359	62
1571	3361	59
1572	3363	57
1573	3366	55
1574	3368	53
1575	3371	51
1576	3372	49
1577	3375	47
1578	3377	44
1579	3379	42
1580	3382	40
1581	3384	38
1582	3386	36
1583	3388	34
1584	3390	32
1585	3393	29
1586	3395	27
1587	3397	25
1588	3399	23
1589	3402	21
1590	3404	19
1591	3406	17
1592	3408	14
1593	3411	12
1594	3413	10
1595	3415	8
1596	3417	6
1597	3419	4
1598	3422	2
1599	3424	0
